Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,12/7/2023 2 p.m. EST,4274,2883,1072,1708,216,44412,14329,33746
PJM,12/7/2023 3 p.m. EST,4453,2189,1165,1576,221,44007,13958,33763
PJM,12/7/2023 4 p.m. EST,4628,438,1793,1504,212,45756,14078,33767
PJM,12/7/2023 5 p.m. EST,5469,7,3524,1528,261,47209,14793,33738
PJM,12/7/2023 6 p.m. EST,6108,7,2921,1556,248,47546,15336,33754
PJM,12/7/2023 7 p.m. EST,6798,7,2649,1535,236,46615,14997,33770
PJM,12/7/2023 8 p.m. EST,7446,7,2470,1537,228,45587,14572,33767
PJM,12/7/2023 9 p.m. EST,8187,7,1629,1477,232,43728,14066,33765
PJM,12/7/2023 10 p.m. EST,8421,7,1101,1016,224,40885,13478,33776
PJM,12/7/2023 11 p.m. EST,8174,7,1066,997,221,38382,12630,33766
PJM,12/8/2023 12 a.m. EST,7327,7,1171,1016,226,40761,13225,33719
PJM,12/8/2023 1 a.m. EST,8037,7,977,1034,228,37604,12736,33765
PJM,12/8/2023 2 a.m. EST,7886,7,877,1008,230,37657,12614,33641
PJM,12/8/2023 3 a.m. EST,7493,7,913,998,228,37817,12677,33654
PJM,12/8/2023 4 a.m. EST,7682,7,1023,1001,229,37031,12405,33648
PJM,12/8/2023 5 a.m. EST,8015,7,1299,1019,250,39141,12932,33655
PJM,12/8/2023 6 a.m. EST,7823,7,3926,1056,299,41038,13470,33654
PJM,12/8/2023 7 a.m. EST,7769,40,4633,1045,408,42454,14576,33793
PJM,12/8/2023 8 a.m. EST,7164,1199,3395,1133,420,42596,15074,33785
PJM,12/8/2023 9 a.m. EST,7115,2537,1920,1216,372,40247,14504,33781
PJM,12/8/2023 10 a.m. EST,7421,2836,1085,1211,245,39378,13923,33734
PJM,12/8/2023 11 a.m. EST,7036,2980,1030,1174,230,38912,13233,33401
PJM,12/8/2023 12 p.m. EST,6943,2908,1115,1173,270,38314,12912,33376
PJM,12/8/2023 1 p.m. EST,6616,2806,1062,1181,223,38440,13000,33350
PJM,12/8/2023 2 p.m. EST,6583,2624,1089,1190,222,37959,13161,33396
PJM,12/8/2023 3 p.m. EST,6278,1672,1118,1112,220,37813,12854,33543
PJM,12/8/2023 4 p.m. EST,5919,268,1418,1000,222,39112,13273,33540
PJM,12/8/2023 5 p.m. EST,6110,7,3910,1009,219,40544,13651,33553
