Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,7/10/2023 9 a.m. EDT,1020,2424,726,1017,219,50210,14612,32720
PJM,7/10/2023 10 a.m. EDT,1139,2905,608,1738,232,51895,15668,32710
PJM,7/10/2023 11 a.m. EDT,1327,2989,1044,1946,403,53890,16479,32697
PJM,7/10/2023 12 p.m. EDT,1311,3368,1187,1893,434,56639,17826,32673
PJM,7/10/2023 1 p.m. EDT,1265,3068,1419,1991,435,59283,19217,32627
PJM,7/10/2023 2 p.m. EDT,1164,3032,3449,1977,446,59763,20189,32604
PJM,7/10/2023 3 p.m. EDT,1286,3086,4472,2150,446,60947,20898,32583
PJM,7/10/2023 4 p.m. EDT,1526,2694,5274,2255,445,61840,21782,32556
PJM,7/10/2023 5 p.m. EDT,1715,2776,5274,2301,519,62878,21968,32545
PJM,7/10/2023 6 p.m. EDT,1861,2342,6023,2302,518,63207,22474,32544
PJM,7/10/2023 7 p.m. EDT,1739,1071,5749,2189,492,62591,21968,32548
PJM,7/10/2023 8 p.m. EDT,1383,85,4816,2132,475,60974,21132,32584
PJM,7/10/2023 9 p.m. EDT,1717,6,2655,2086,507,58280,20918,32589
PJM,7/10/2023 10 p.m. EDT,1944,6,1046,1498,388,53999,19438,32598
PJM,7/10/2023 11 p.m. EDT,2654,6,979,1057,218,49335,17554,32616
PJM,7/11/2023 12 a.m. EDT,872,5,646,807,219,42932,14156,32712
PJM,7/11/2023 1 a.m. EDT,3525,2,938,786,223,41538,14599,32665
PJM,7/11/2023 2 a.m. EDT,3594,2,841,771,221,39148,14237,32647
PJM,7/11/2023 3 a.m. EDT,4114,2,886,739,220,35599,14205,32695
PJM,7/11/2023 4 a.m. EDT,4152,2,606,736,225,34805,14402,32743
PJM,7/11/2023 5 a.m. EDT,4298,2,693,744,227,35778,14662,32752
PJM,7/11/2023 6 a.m. EDT,4043,69,883,748,229,38616,14900,32765
PJM,7/11/2023 7 a.m. EDT,3583,1374,747,858,233,41496,15031,32779
PJM,7/11/2023 8 a.m. EDT,2426,3139,930,1052,235,44449,15147,32748
PJM,7/11/2023 9 a.m. EDT,1569,3781,969,1177,236,49182,15931,32716
PJM,7/11/2023 10 a.m. EDT,1596,4029,751,1896,244,53989,16472,32704
PJM,7/11/2023 11 a.m. EDT,1819,3981,1293,2104,448,57292,17292,32632
PJM,7/11/2023 12 p.m. EDT,1804,3920,2594,2286,430,59466,18414,32593
PJM,7/11/2023 1 p.m. EDT,2332,3871,3663,2347,435,62229,19037,32564
